ad_id,platform,target_audience,creative_theme,status,start_date,days_running,spend,revenue,roas,audit_status,contribution,explanation,source_pointer
AD-0032,YouTube,M 25-34,Product Demo,Paused,2025-04-18,30,175667.97,14530804.24,82.72,Not flagged,0.00,Excluded: roas_below_one.,/31
AD-0033,Meta,M 35-44,Product Demo,Active,2025-05-08,1,161714.08,7214339.03,44.61,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/32
AD-0034,Google,M 35-44,Infographic,Paused,2025-10-07,24,98927.03,5469070.35,55.28,Not flagged,0.00,Excluded: roas_below_one.,/33
AD-0035,Meta,M 25-34,Product Demo,Active,2025-06-22,65,131746.04,43316405.16,328.79,Not flagged,0.00,Excluded: roas_below_one.,/34
AD-0036,Meta,F 35-44,Celebrity Endorsement,Paused,2025-11-20,14,141137.73,3472551.37,24.6,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/35
AD-0037,Meta,M 35-44,UGC Style,Completed,2025-08-06,3,77766.83,6277657.94,80.72,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/36
AD-0038,Instagram,M 35-44,Celebrity Endorsement,Completed,2025-10-22,10,90873.52,1495683.66,16.46,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/37
AD-0039,Google,M 35-44,Celebrity Endorsement,Completed,2025-06-17,25,146084.64,6157886.48,42.15,Not flagged,0.00,Excluded: roas_below_one.,/38
AD-0040,YouTube,M 35-44,Infographic,Completed,2025-02-19,36,32681.76,3558534.57,108.88,Not flagged,0.00,Excluded: roas_below_one.,/39
AD-0041,Meta,F 25-34,Testimonial,Active,2025-11-24,85,54108.22,4518173.43,83.5,Not flagged,0.00,Excluded: roas_below_one.,/40
AD-0042,Instagram,M 25-34,Product Demo,Active,2025-11-03,80,77039.13,808774.32,10.5,Not flagged,0.00,Excluded: roas_below_one.,/41
AD-0043,YouTube,F 18-24,Product Demo,Active,2025-08-03,27,76825.84,415597.3,5.41,Not flagged,0.00,Excluded: roas_below_one.,/42
AD-0044,Instagram,F 18-24,UGC Style,Active,2025-09-08,74,34770.39,161564.68,4.65,Not flagged,0.00,Excluded: roas_below_one.,/43
AD-0045,Meta,F 18-24,Doctor Trust,Completed,2025-02-05,6,122367.42,27869285.56,227.75,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/44
AD-0046,Meta,M 18-24,Doctor Trust,Completed,2025-02-16,65,27141.39,907505.72,33.44,Not flagged,0.00,Excluded: roas_below_one.,/45
AD-0047,Meta,F 18-24,Lifestyle,Completed,2025-09-17,71,44802.8,3044636.12,67.96,Not flagged,0.00,Excluded: roas_below_one.,/46
AD-0048,Meta,M 18-24,Before/After,Active,2025-01-08,17,1711.67,16505.21,9.64,Not flagged,0.00,"Excluded: roas_below_one, spend_above_5000.",/47
AD-0049,YouTube,F 25-34,Lifestyle,Paused,2025-08-22,70,26754.18,6908452.52,258.22,Not flagged,0.00,Excluded: roas_below_one.,/48
AD-0050,Meta,M 18-24,Doctor Trust,Paused,2025-04-09,71,111898.41,156165.22,1.4,Not flagged,0.00,Excluded: roas_below_one.,/49
AD-0051,Google,F 35-44,Testimonial,Active,2025-09-10,24,33335.93,1434352.08,43.03,Not flagged,0.00,Excluded: roas_below_one.,/50
AD-0052,Meta,M 18-24,Product Demo,Paused,2025-03-28,62,158984.18,1893748.67,11.91,Not flagged,0.00,Excluded: roas_below_one.,/51
AD-0053,Google,F 35-44,Before/After,Paused,2025-04-07,51,39625.73,1214766.55,30.66,Not flagged,0.00,Excluded: roas_below_one.,/52
AD-0054,Instagram,F 18-24,Testimonial,Paused,2025-09-27,28,4987.82,394149.99,79.02,Not flagged,0.00,"Excluded: roas_below_one, spend_above_5000.",/53
AD-0055,Instagram,F 18-24,Before/After,Active,2025-07-26,86,113432.7,5220694.24,46.02,Not flagged,0.00,Excluded: roas_below_one.,/54
AD-0056,Google,F 35-44,Lifestyle,Completed,2025-05-19,1,56876.87,102652.16,1.8,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/55
AD-0057,Meta,F 25-34,UGC Style,Active,2025-07-07,1,67005.35,4383244.08,65.42,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/56
AD-0058,YouTube,M 25-34,Before/After,Completed,2025-02-17,87,141706.52,2447549.63,17.27,Not flagged,0.00,Excluded: roas_below_one.,/57
AD-0059,Google,M 25-34,Infographic,Active,2025-07-02,6,108398.09,19863748.28,183.25,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/58
AD-0060,Google,F 25-34,Doctor Trust,Active,2025-08-14,79,100482.42,9245834.44,92.01,Not flagged,0.00,Excluded: roas_below_one.,/59
AD-0061,Meta,F 25-34,Lifestyle,Completed,2025-02-25,36,174524.1,37536379.76,215.08,Not flagged,0.00,Excluded: roas_below_one.,/60
AD-0062,Google,F 25-34,Celebrity Endorsement,Active,2025-07-15,40,4580.7,65172.78,14.23,Not flagged,0.00,"Excluded: roas_below_one, spend_above_5000.",/61
AD-0063,Instagram,F 18-24,Product Demo,Active,2025-11-18,65,92359.93,9014173.2,97.6,Not flagged,0.00,Excluded: roas_below_one.,/62
AD-0064,Meta,F 18-24,Before/After,Completed,2025-05-08,75,110023.99,23498475.26,213.58,Not flagged,0.00,Excluded: roas_below_one.,/63
AD-0065,Meta,F 25-34,Testimonial,Completed,2025-05-21,67,92794.99,16668059.27,179.62,Not flagged,0.00,Excluded: roas_below_one.,/64
AD-0066,Instagram,M 35-44,Before/After,Completed,2025-04-17,8,160487.67,22473744.16,140.03,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/65
AD-0067,YouTube,F 35-44,Product Demo,Paused,2025-09-08,6,82457.51,29165.04,0.35,Not flagged,0.00,Excluded: running_over_14_days.,/66
AD-0068,Google,M 25-34,Lifestyle,Paused,2025-01-02,8,34633.84,17083539.48,493.26,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/67
AD-0069,Instagram,F 18-24,Before/After,Paused,2025-02-07,1,43037.77,187977.7,4.37,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/68
AD-0070,Meta,F 18-24,Infographic,Active,2025-03-08,1,165286.86,20286452.78,122.73,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/69
AD-0071,YouTube,M 35-44,Testimonial,Active,2025-11-08,84,131806.87,6015509.43,45.64,Not flagged,0.00,Excluded: roas_below_one.,/70
AD-0072,YouTube,M 35-44,Doctor Trust,Active,2025-04-16,14,199998.91,33468193.88,167.34,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/71
AD-0073,Google,M 35-44,Infographic,Paused,2025-01-23,73,180496.03,66267168.5,367.14,Not flagged,0.00,Excluded: roas_below_one.,/72
AD-0074,YouTube,F 25-34,Celebrity Endorsement,Active,2025-10-02,37,1804.46,66532.07,36.87,Not flagged,0.00,"Excluded: roas_below_one, spend_above_5000.",/73
AD-0075,Instagram,F 35-44,Celebrity Endorsement,Completed,2025-10-07,18,170374.74,2441216.38,14.33,Not flagged,0.00,Excluded: roas_below_one.,/74
AD-0076,Meta,F 35-44,Infographic,Completed,2025-11-21,36,142070.75,19045006.21,134.05,Not flagged,0.00,Excluded: roas_below_one.,/75
AD-0077,Meta,M 25-34,Product Demo,Active,2025-04-14,80,27118.66,2550588.13,94.05,Not flagged,0.00,Excluded: roas_below_one.,/76
AD-0078,Meta,F 25-34,Celebrity Endorsement,Paused,2025-01-21,35,161481.6,1300626.8,8.05,Not flagged,0.00,Excluded: roas_below_one.,/77
AD-0079,Google,F 35-44,Before/After,Active,2025-09-17,19,124894.69,2952423.05,23.64,Not flagged,0.00,Excluded: roas_below_one.,/78
AD-0080,YouTube,M 35-44,Before/After,Active,2025-07-25,40,129587.87,5676181.29,43.8,Not flagged,0.00,Excluded: roas_below_one.,/79
AD-0081,Google,M 25-34,Testimonial,Active,2025-09-21,51,198660.54,1552284.9,7.81,Not flagged,0.00,Excluded: roas_below_one.,/80
AD-0082,YouTube,M 18-24,Lifestyle,Paused,2025-11-24,37,100793.82,1383792.07,13.73,Not flagged,0.00,Excluded: roas_below_one.,/81
AD-0083,Meta,M 35-44,UGC Style,Completed,2025-09-24,81,189407.2,4420439.84,23.34,Not flagged,0.00,Excluded: roas_below_one.,/82
AD-0084,Meta,M 25-34,Doctor Trust,Paused,2025-09-07,6,63022.65,1424154.79,22.6,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/83
AD-0085,Meta,F 18-24,Celebrity Endorsement,Active,2025-09-18,75,78211.81,1904456.41,24.35,Not flagged,0.00,Excluded: roas_below_one.,/84
AD-0086,Instagram,F 35-44,Celebrity Endorsement,Completed,2025-05-16,47,189814.28,9826301.58,51.77,Not flagged,0.00,Excluded: roas_below_one.,/85
AD-0087,Instagram,M 25-34,Lifestyle,Paused,2025-07-14,80,109873.59,1473066.73,13.41,Not flagged,0.00,Excluded: roas_below_one.,/86
AD-0088,Google,M 35-44,Lifestyle,Completed,2025-11-01,30,2899.55,57576.11,19.86,Not flagged,0.00,"Excluded: roas_below_one, spend_above_5000.",/87
AD-0089,YouTube,M 25-34,Product Demo,Active,2025-09-04,65,187968.21,8749365.81,46.55,Not flagged,0.00,Excluded: roas_below_one.,/88
AD-0090,Instagram,M 35-44,Lifestyle,Paused,2025-07-04,17,79951.36,4925091.34,61.6,Not flagged,0.00,Excluded: roas_below_one.,/89
AD-0091,Meta,F 25-34,Lifestyle,Paused,2025-04-14,5,120595.9,1856641.76,15.4,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/90
AD-0092,Meta,F 18-24,UGC Style,Paused,2025-10-13,45,71986.98,11793003.31,163.82,Not flagged,0.00,Excluded: roas_below_one.,/91
AD-0093,Google,F 35-44,Before/After,Paused,2025-03-21,43,32626.1,4759272.63,145.87,Not flagged,0.00,Excluded: roas_below_one.,/92
AD-0094,YouTube,M 25-34,Infographic,Paused,2025-04-20,48,121931.18,1532784.66,12.57,Not flagged,0.00,Excluded: roas_below_one.,/93
AD-0095,Instagram,M 35-44,Product Demo,Active,2025-05-03,13,9401.25,7455252.09,793.01,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/94
AD-0096,Instagram,F 25-34,Testimonial,Paused,2025-10-02,56,48509.12,2493220.88,51.4,Not flagged,0.00,Excluded: roas_below_one.,/95
AD-0097,Meta,F 18-24,Doctor Trust,Paused,2025-03-23,60,78250.07,406537.07,5.2,Not flagged,0.00,Excluded: roas_below_one.,/96
AD-0098,Google,M 25-34,Doctor Trust,Completed,2025-04-26,69,70999.24,49734.98,0.7,Wasted spend,70999.24,All three strict thresholds pass; full spend counts once in Google.,/97
AD-0099,Google,M 18-24,Lifestyle,Completed,2025-11-17,62,183436.76,68071923.85,371.09,Not flagged,0.00,Excluded: roas_below_one.,/98
AD-0100,Google,F 35-44,Celebrity Endorsement,Active,2025-08-10,75,57010.5,335539.43,5.89,Not flagged,0.00,Excluded: roas_below_one.,/99
AD-0101,Google,F 25-34,Product Demo,Completed,2025-03-04,51,35846.68,30779399.27,858.64,Not flagged,0.00,Excluded: roas_below_one.,/100
AD-0102,Meta,M 18-24,Product Demo,Active,2025-05-12,23,154190.01,21667901.15,140.53,Not flagged,0.00,Excluded: roas_below_one.,/101
AD-0103,Instagram,F 25-34,Lifestyle,Paused,2025-02-16,20,62532.01,27362847.9,437.58,Not flagged,0.00,Excluded: roas_below_one.,/102
AD-0104,Meta,M 18-24,Infographic,Paused,2025-09-04,68,18215.78,3542300.21,194.46,Not flagged,0.00,Excluded: roas_below_one.,/103
AD-0105,Google,F 25-34,UGC Style,Active,2025-09-24,8,88283.1,1380950.93,15.64,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/104
AD-0106,Meta,M 35-44,Testimonial,Completed,2025-01-23,45,64323.1,366312.27,5.69,Not flagged,0.00,Excluded: roas_below_one.,/105
AD-0107,YouTube,M 25-34,Product Demo,Active,2025-04-02,62,181645.27,43728688.17,240.74,Not flagged,0.00,Excluded: roas_below_one.,/106
AD-0108,Instagram,M 18-24,Lifestyle,Paused,2025-10-26,25,52156.56,23972021.44,459.62,Not flagged,0.00,Excluded: roas_below_one.,/107
AD-0109,Meta,M 35-44,UGC Style,Paused,2025-04-02,72,161358.95,760237.07,4.71,Not flagged,0.00,Excluded: roas_below_one.,/108
AD-0110,Google,F 25-34,Lifestyle,Completed,2025-08-24,44,1634.75,9704.43,5.94,Not flagged,0.00,"Excluded: roas_below_one, spend_above_5000.",/109
AD-0111,Google,F 18-24,Testimonial,Active,2025-11-08,13,153404.98,16846266.88,109.82,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/110
AD-0112,Google,M 25-34,UGC Style,Paused,2025-04-10,71,83460.07,2534874.05,30.37,Not flagged,0.00,Excluded: roas_below_one.,/111
AD-0113,Instagram,M 35-44,UGC Style,Paused,2025-07-27,63,15044.6,345254.84,22.95,Not flagged,0.00,Excluded: roas_below_one.,/112
AD-0114,Google,F 18-24,Doctor Trust,Active,2025-10-15,54,78055.62,9774405.51,125.22,Not flagged,0.00,Excluded: roas_below_one.,/113
AD-0115,Google,F 25-34,Lifestyle,Completed,2025-02-13,58,74489.57,336261.83,4.51,Not flagged,0.00,Excluded: roas_below_one.,/114
AD-0116,Meta,M 35-44,Celebrity Endorsement,Active,2025-06-24,23,93404.94,448585.34,4.8,Not flagged,0.00,Excluded: roas_below_one.,/115
AD-0117,YouTube,F 18-24,Testimonial,Paused,2025-09-07,27,88793.54,1166316.59,13.14,Not flagged,0.00,Excluded: roas_below_one.,/116
AD-0118,Google,F 35-44,Celebrity Endorsement,Completed,2025-03-11,40,116296.77,1299122.13,11.17,Not flagged,0.00,Excluded: roas_below_one.,/117
AD-0119,Meta,M 25-34,UGC Style,Completed,2025-02-01,86,93938.61,5237850.51,55.76,Not flagged,0.00,Excluded: roas_below_one.,/118
AD-0120,Google,M 18-24,UGC Style,Completed,2025-04-23,88,177345.45,23466372.66,132.32,Not flagged,0.00,Excluded: roas_below_one.,/119
AD-0121,Instagram,F 25-34,Lifestyle,Paused,2025-03-26,35,98013.81,2154389.81,21.98,Not flagged,0.00,Excluded: roas_below_one.,/120
AD-0122,Meta,F 18-24,Infographic,Paused,2025-09-13,49,43835.11,7780839.72,177.5,Not flagged,0.00,Excluded: roas_below_one.,/121
AD-0123,YouTube,M 18-24,Infographic,Completed,2025-08-22,10,121050.68,32894792.42,271.74,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/122
AD-0124,Google,F 25-34,UGC Style,Paused,2025-02-04,71,73571.27,3661985.68,49.77,Not flagged,0.00,Excluded: roas_below_one.,/123
AD-0125,Meta,F 18-24,Infographic,Active,2025-09-22,69,14225.34,1966102.11,138.21,Not flagged,0.00,Excluded: roas_below_one.,/124
AD-0126,Meta,M 18-24,Celebrity Endorsement,Completed,2025-05-08,67,11377.81,362736.62,31.88,Not flagged,0.00,Excluded: roas_below_one.,/125
AD-0127,Meta,M 25-34,Celebrity Endorsement,Active,2025-11-16,4,70801.03,3578037.89,50.54,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/126
AD-0128,Meta,F 18-24,Lifestyle,Completed,2025-06-07,6,92467.76,26979415.03,291.77,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/127
AD-0129,Google,M 18-24,Lifestyle,Completed,2025-07-01,4,162936.5,51087391.43,313.54,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/128
AD-0130,Meta,M 25-34,Lifestyle,Completed,2025-01-25,72,23466.22,2026696.07,86.37,Not flagged,0.00,Excluded: roas_below_one.,/129
AD-0131,YouTube,F 18-24,Infographic,Paused,2025-09-25,33,132634.84,20029445.66,151.01,Not flagged,0.00,Excluded: roas_below_one.,/130
AD-0132,Meta,F 18-24,Before/After,Active,2025-06-07,67,28128.5,2680350.75,95.29,Not flagged,0.00,Excluded: roas_below_one.,/131
AD-0133,Meta,M 25-34,Testimonial,Completed,2025-10-22,59,113617.19,3533811.71,31.1,Not flagged,0.00,Excluded: roas_below_one.,/132
AD-0134,Google,M 25-34,UGC Style,Active,2025-07-11,50,130067.39,10865460.41,83.54,Not flagged,0.00,Excluded: roas_below_one.,/133
AD-0135,YouTube,F 25-34,Lifestyle,Active,2025-01-21,70,67560.46,2878288.17,42.6,Not flagged,0.00,Excluded: roas_below_one.,/134
AD-0136,YouTube,M 35-44,Celebrity Endorsement,Active,2025-06-02,42,139358.02,132162.29,0.95,Wasted spend,139358.02,All three strict thresholds pass; full spend counts once in YouTube.,/135
AD-0137,YouTube,M 25-34,UGC Style,Paused,2025-01-09,76,136910.26,82981350.6,606.1,Not flagged,0.00,Excluded: roas_below_one.,/136
AD-0138,YouTube,F 18-24,Infographic,Active,2025-02-24,57,107010.55,5196391.69,48.56,Not flagged,0.00,Excluded: roas_below_one.,/137
AD-0139,Meta,F 35-44,Infographic,Completed,2025-06-17,15,45052.22,1405858.4,31.21,Not flagged,0.00,Excluded: roas_below_one.,/138
AD-0140,Instagram,F 35-44,Before/After,Paused,2025-01-25,83,88730.33,23531.69,0.27,Wasted spend,88730.33,All three strict thresholds pass; full spend counts once in Instagram.,/139
AD-0141,Meta,M 35-44,Product Demo,Paused,2025-02-05,77,121754.79,15437569.01,126.79,Not flagged,0.00,Excluded: roas_below_one.,/140
AD-0142,Instagram,F 18-24,Doctor Trust,Paused,2025-01-18,16,98589.99,13996625.55,141.97,Not flagged,0.00,Excluded: roas_below_one.,/141
AD-0143,Instagram,F 35-44,Before/After,Active,2025-03-01,12,28014.79,466521.64,16.65,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/142
AD-0144,Google,F 25-34,Infographic,Paused,2025-05-10,21,119666.63,5357922.33,44.77,Not flagged,0.00,Excluded: roas_below_one.,/143
AD-0145,Meta,M 35-44,Testimonial,Completed,2025-10-09,84,100596.54,1982766.71,19.71,Not flagged,0.00,Excluded: roas_below_one.,/144
AD-0146,Instagram,F 35-44,Lifestyle,Active,2025-06-10,20,154262.2,10839302.55,70.27,Not flagged,0.00,Excluded: roas_below_one.,/145
AD-0147,Meta,F 35-44,Infographic,Active,2025-01-20,12,196292.88,4040211.54,20.58,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/146
AD-0148,Meta,M 25-34,Product Demo,Completed,2025-04-15,21,79980.68,13403680.67,167.59,Not flagged,0.00,Excluded: roas_below_one.,/147
AD-0149,Meta,F 35-44,Doctor Trust,Paused,2025-01-26,29,180690.55,16075277.66,88.97,Not flagged,0.00,Excluded: roas_below_one.,/148
AD-0150,Meta,F 35-44,Doctor Trust,Paused,2025-09-11,52,190447.2,568289.61,2.98,Not flagged,0.00,Excluded: roas_below_one.,/149
AD-0151,Google,F 25-34,Doctor Trust,Active,2025-09-08,63,165600.72,12485940.1,75.4,Not flagged,0.00,Excluded: roas_below_one.,/150
AD-0152,Meta,M 25-34,Product Demo,Active,2025-10-15,69,117579.81,29084130.89,247.36,Not flagged,0.00,Excluded: roas_below_one.,/151
AD-0153,YouTube,M 25-34,Before/After,Active,2025-01-03,80,52134.67,13638448.1,261.6,Not flagged,0.00,Excluded: roas_below_one.,/152
AD-0154,YouTube,F 35-44,Doctor Trust,Completed,2025-08-10,46,186392.69,170941.25,0.92,Wasted spend,186392.69,All three strict thresholds pass; full spend counts once in YouTube.,/153
AD-0155,YouTube,M 25-34,Infographic,Active,2025-01-22,25,88488.51,10982534.92,124.11,Not flagged,0.00,Excluded: roas_below_one.,/154
AD-0156,Instagram,M 25-34,Before/After,Completed,2025-05-02,4,162930.17,676933,4.15,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/155
AD-0157,Meta,F 18-24,Doctor Trust,Paused,2025-08-28,20,184543.78,33739720.2,182.83,Not flagged,0.00,Excluded: roas_below_one.,/156
AD-0158,Instagram,M 18-24,Before/After,Paused,2025-04-23,77,182128.5,6421613.01,35.26,Not flagged,0.00,Excluded: roas_below_one.,/157
AD-0159,Google,F 35-44,Lifestyle,Paused,2025-04-13,46,141796.43,17261324.3,121.73,Not flagged,0.00,Excluded: roas_below_one.,/158
AD-0160,Instagram,M 18-24,Infographic,Active,2025-11-06,34,63351.89,6459116.6,101.96,Not flagged,0.00,Excluded: roas_below_one.,/159
AD-0161,Meta,F 25-34,Doctor Trust,Active,2025-08-15,74,121696.54,9429700.59,77.49,Not flagged,0.00,Excluded: roas_below_one.,/160
AD-0162,Meta,F 35-44,Testimonial,Paused,2025-10-28,44,66214.64,1804331.78,27.25,Not flagged,0.00,Excluded: roas_below_one.,/161
AD-0163,YouTube,F 35-44,UGC Style,Paused,2025-05-09,21,90195.28,1184155.15,13.13,Not flagged,0.00,Excluded: roas_below_one.,/162
AD-0164,Instagram,F 35-44,Celebrity Endorsement,Completed,2025-11-04,62,150137.7,12229692.77,81.46,Not flagged,0.00,Excluded: roas_below_one.,/163
AD-0165,Instagram,F 18-24,Testimonial,Completed,2025-06-08,64,76840.99,6897464.35,89.76,Not flagged,0.00,Excluded: roas_below_one.,/164
AD-0166,Instagram,M 35-44,Infographic,Completed,2025-03-13,62,152031.03,18809711.28,123.72,Not flagged,0.00,Excluded: roas_below_one.,/165
AD-0167,Instagram,M 25-34,Doctor Trust,Paused,2025-08-21,13,17442.36,838707.79,48.08,Not flagged,0.00,"Excluded: roas_below_one, running_over_14_days.",/166
AD-0168,Google,F 25-34,Lifestyle,Active,2025-01-02,44,158491.5,5415785.42,34.17,Not flagged,0.00,Excluded: roas_below_one.,/167
AD-0169,YouTube,F 18-24,Product Demo,Active,2025-10-25,49,2088.04,95267.88,45.63,Not flagged,0.00,"Excluded: roas_below_one, spend_above_5000.",/168
AD-0170,Meta,M 18-24,Celebrity Endorsement,Active,2025-10-13,88,10454.59,285174.72,27.28,Not flagged,0.00,Excluded: roas_below_one.,/169
AD-0171,Google,M 25-34,Doctor Trust,Paused,2025-03-04,65,73047.39,6897689.15,94.43,Not flagged,0.00,Excluded: roas_below_one.,/170
AD-0172,YouTube,F 18-24,Doctor Trust,Completed,2025-08-26,31,23732.36,1976029.34,83.26,Not flagged,0.00,Excluded: roas_below_one.,/171
AD-0173,Meta,F 35-44,Lifestyle,Completed,2025-08-14,42,61444.38,10175903.04,165.61,Not flagged,0.00,Excluded: roas_below_one.,/172
AD-0174,Meta,F 25-34,UGC Style,Completed,2025-10-08,24,62590.66,16337224.78,261.02,Not flagged,0.00,Excluded: roas_below_one.,/173
AD-0175,Google,F 35-44,Testimonial,Paused,2025-04-08,63,81733.36,17162712.59,209.98,Not flagged,0.00,Excluded: roas_below_one.,/174
AD-0176,Meta,F 18-24,Doctor Trust,Paused,2025-08-23,29,80767.1,7055971.53,87.36,Not flagged,0.00,Excluded: roas_below_one.,/175
